၁။ မဟာသတိပဋ္ဌာနသုတ်တော် ဝတ်ရွတ်စဉ် အမွှန်း| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၁၅၃။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂-၁၀-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၅၄။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၅-၁၀-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၅၅။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၈-၁၀-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၅၆။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၈-၁၀-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၅၇။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၈-၁၀-၂၀၁၁ (၃)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၅၈။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၅-၁၀-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၅၉။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၅-၁၀-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၀။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၅-၁၀-၂၀၁၁ (၃)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၁။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၆-၁၀-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၂။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၂-၁၀-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၃။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၃-၁၀-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၄။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၉-၁၀-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၅။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၉-၁၀-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၆။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၉-၁၀-၂၀၁၁ (၃)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၇။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၉-၁၀-၂၀၁၁ (၄)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၈။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၃၀-၁၀-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၆၉။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၅-၁၁-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၀။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၂-၁၁-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၁။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၂-၁၁-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၂။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၂-၁၁-၂၀၁၁ (၃)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၃။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၂-၁၁-၂၀၁၁ (၄)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၄။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၃-၁၁-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၅။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၉-၁၁-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၆။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၉-၁၁-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၇။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၉-၁၁-၂၀၁၁ (၃)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၈။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၉-၁၁-၂၀၁၁ (၄)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၇၉။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၀-၁၁-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၀။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၆-၁၁-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၁။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၆-၁၁-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၂။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၇-၁၁-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၃။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၃-၁၂-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၄။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၃-၁၂-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၅။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၃-၁၂-၂၀၁၁ (၃)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၆။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၄-၁၂-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၇။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၀-၁၂-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၈။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၀-၁၂-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၈၉။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၀-၁၂-၂၀၁၁ (၃)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၀။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၁-၁၂-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၁။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၇-၁၂-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၂။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁၇-၁၂-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၃။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၄-၁၂-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၄။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၄-၁၂-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၅။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၂၅-၁၂-၂၀၁၁| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၆။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၃၁-၁၂-၂၀၁၁ (၁)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၇။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၃၁-၁၂-၂၀၁၁ (၂)| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၈။ ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း ၁-၁-၂၀၁၂| ဉာဏ်စဉ် ၁၆ ပါး သင်တန်း
၁၉၉။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၂-၅-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၀။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၃-၅-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၁။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၉-၆-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၂။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၀-၆-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၃။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၆-၆-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၄။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၇-၆-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၅။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၃-၆-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၆။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၄-၆-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၇။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၃၀-၆-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၈။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁-၇-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၀၉။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၇-၇-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၀။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၈-၇-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၁။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၄-၇-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၂။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၅-၇-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၃။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၁-၇-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၄။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၈-၇-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၅။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၉-၇-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၆။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၄-၈-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၇။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၅-၈-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၈။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၁-၈-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၁၉။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၂-၈-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၀။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၈-၈-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၁။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၉-၈-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၂။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၅-၈-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၃။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၄။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၈-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၅။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၉-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၆။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၅-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၇။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၆-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၈။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၂-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၂၉။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၃-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၀။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၉-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၁။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၃၀-၉-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၂။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၆-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၃။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၇-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၄။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၈-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၅။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၃-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၆။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၄-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၇။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၅-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၈။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၀-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၃၉။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၁-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၀။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၃-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၁။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၇-၁၀-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၂။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၃-၁၁-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၃။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၄-၁၁-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၄။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၀-၁၁-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၅။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၁-၁၁-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၆။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၇-၁၁-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၇။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၈-၁၁-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၈။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂၄-၁၁-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၄၉။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၂-၁၂-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၅၀။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၈-၁၂-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၅၁။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၉-၁၂-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၅၂။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၉-၁၂-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၅၃။ ဒုက္ခနှင့် နိဗ္ဗာန် အပါတ်စဉ်သင်တန်း ၁၅-၁၂-၂၀၁၂| ဒုက္ခနှင့် နိဗ္ဗာန်အပါတ်စဉ် သင်တန်း
၂၅၄။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၀-၇-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၅၅။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၀-၇-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၅၆။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၁-၇-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၅၇။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၂-၇-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၅၈။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၂-၇-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၅၉။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၇-၇-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၀။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၇-၇-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၁။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၈-၇-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၂။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၃-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၃။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၃-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၄။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၄-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၅။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁၀-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၆။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁၀-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၇။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁၁-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၈။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁၇-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၆၉။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁၈-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၀။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၄-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၁။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၄-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၂။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၅-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၃။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၃၁-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၄။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၃၁-၈-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၅။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၆။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၇-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၇။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၇-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၈။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၈-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၇၉။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁၄-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၈၀။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁၄-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၈၁။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၁၅-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၈၂။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၁-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၈၃။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၁-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
၂၈၄။ စိတ်၊ စေတသိတ်၊ ရုပ် ရှုပွားနည်း သင်တန်း ၂၂-၉-၂၀၁၃| စိတ် - စေတသိတ် - ရုပ် ရှုပွားနည်း သင်တန်း
