၁။ မဟာသတိပဋ္ဌာနသုတ်တော် ဝတ်ရွတ်စဉ် အမွှန်း| ပဋ္ဌာန်း၊ ဓမ္မစကြာ၊ အနတ္တလက္ခဏသုတ်၊ မဟာသတိပဋ္ဌာနသုတ် တော် ဝတ်ရွတ်စဉ်
၄၀။ ဓါတုဝိဘင်္ဂသုတ္တန် ၂၈-၆-၂၀၀၃| ဓါတုဝိဘင်္ဂသုတ္တန်
၄၁။ ဓါတုဝိဘင်္ဂသုတ္တန် ၂၉-၆-၂၀၀၃| ဓါတုဝိဘင်္ဂသုတ္တန်
၄၂။ ဆ-ဆက္ကသုတ္တန် ၅-၄-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၄၃။ ဆ-ဆက္ကသုတ္တန် ၆-၄-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၄၄။ ဆ-ဆက္ကသုတ္တန် ၁၂-၄-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၄၅။ ဆ-ဆက္ကသုတ္တန် ၁၃-၄-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၄၆။ ဆ-ဆက္ကသုတ္တန် ၁၉-၄-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၄၇။ ဆ-ဆက္ကသုတ္တန် ၂၀-၄-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၄၈။ ဆ-ဆက္ကသုတ္တန် ၂၇-၄-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၄၉။ ဆ-ဆက္ကသုတ္တန် ၃-၅-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၅၀။ ဆ-ဆက္ကသုတ္တန် ၄-၅-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၅၁။ ဆ-ဆက္ကသုတ္တန် ၄-၅-၂၀၀၃| ဆ-ဆက္ကသုတ္တန်
၅၂။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၁၈-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၅၃။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၁၈-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၅၄။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၁၈-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၅၅။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၁-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၅၆။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၁-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၅၇။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၂-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၅၈။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၂-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၅၉။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၂-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၆၀။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၃-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၆၁။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၃-၉ -၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၆၂။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၄-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၆၃။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၄-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၆၄။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၅-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၆၅။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၅-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၆၆။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၈-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
၆၇။ ပ-သုံးလုံး တရားနှလုံးသွင်း ရှုဆင်ခြင်နည်း ၂၈-၉-၂၀၀၉| အမေရိကန်နိုင်ငံ ဒေလီစတီးမြို့ ထေရဝါဒ ဓမ္မအသင်း
